lead_id,google_rating,google_reviews,has_website,has_phone,business_type,city,estimated_employees,deal_size,reply_probability,enrichment_cost,estimated_value,value_to_cost_ratio
0,4.916607253303087,3,True,True,insurance,Jacksonville,138,5000.0,0.2696189927331141,0.002,1348.0949636655707,674047.4818327853
1,4.2457600890866045,26,False,True,real_estate,Tampa,146,5000.0,0.169220378730983,0.001,846.101893654915,846101.8936549149
2,4.490388547664899,48,False,True,finance,Fort Lauderdale,21,3000.0,0.13495215132000468,0.001,404.85645396001405,404856.45396001404
3,4.171608402803654,31,True,True,real_estate,Naples,21,3000.0,0.18581029252376047,0.002,557.4308775712814,278715.4387856407
4,,0,True,True,real_estate,Miami,14,3000.0,0.15589524060856402,0.002,467.68572182569204,233842.86091284602
5,3.8102588016372905,3,True,True,real_estate,Naples,61,5000.0,0.26848178225969604,0.002,1342.4089112984802,671204.4556492401
6,4.415150679478777,29,True,True,other,Tallahassee,14,3000.0,0.19539972488251142,0.002,586.1991746475343,293099.58732376713
7,3.774231405407116,13,True,True,finance,Tallahassee,13,3000.0,0.245498824392556,0.002,736.496473177668,368248.23658883397
8,4.532792618156715,11,True,True,real_estate,Fort Lauderdale,53,5000.0,0.1390953527383044,0.002,695.476763691522,347738.38184576103
9,4.742643502222955,57,True,True,insurance,Fort Lauderdale,12,3000.0,0.2067715600198583,0.002,620.3146800595749,310157.34002978745
10,4.383265703618616,118,True,True,real_estate,Fort Lauderdale,19,3000.0,0.24102276122823513,0.002,723.0682836847054,361534.1418423527
11,4.0568756332221545,172,True,True,real_estate,Fort Lauderdale,4,3000.0,0.20203743940090577,0.002,606.1123182027173,303056.1591013587
12,4.426982789654348,97,True,True,real_estate,Miami,41,3000.0,0.3954750171403596,0.002,1186.4250514210787,593212.5257105393
13,4.045663472226794,17,True,True,other,Naples,140,5000.0,0.18394280384098316,0.002,919.7140192049158,459857.00960245787
14,4.667773562732575,30,True,True,insurance,Jacksonville,41,3000.0,0.18384863607544213,0.002,551.5459082263264,275772.9541131632
15,3.2842969578924386,50,False,False,finance,St. Petersburg,87,5000.0,0.12993829512533583,0.001,649.6914756266792,649691.4756266793
16,4.032196315940677,23,True,True,real_estate,Tampa,9,3000.0,0.13492724895153016,0.002,404.7817468545905,202390.87342729524
17,,0,False,True,real_estate,Miami,25,3000.0,0.07392115137144545,0.001,221.76345411433635,221763.45411433635
18,3.4524695848863978,53,True,True,finance,Jacksonville,8,3000.0,0.23302964788638839,0.002,699.0889436591651,349544.47182958253
19,4.881931114906955,18,False,True,real_estate,Jacksonville,16,3000.0,0.1473385062350346,0.001,442.01551870510383,442015.51870510384
20,4.6475924909858435,8,True,True,other,Tampa,43,3000.0,0.15695115961128517,0.002,470.8534788338555,235426.73941692774
21,3.840259883357605,12,True,True,insurance,Orlando,22,3000.0,0.24637063225343583,0.002,739.1118967603074,369555.94838015374
22,3.448748271979552,42,True,False,real_estate,Orlando,5,3000.0,0.28987033428506914,0.002,869.6110028552074,434805.5014276037
23,2.7177355810791743,20,True,False,insurance,Jacksonville,5,3000.0,0.18746779697220006,0.002,562.4033909166002,281201.69545830006
24,3.928252246033683,30,True,True,other,Tampa,5,3000.0,0.16889968139358072,0.002,506.69904418074213,253349.52209037106
25,5.0,44,True,True,real_estate,Naples,33,3000.0,0.23478112712185908,0.002,704.3433813655772,352171.6906827886
26,4.417442135731823,12,False,True,finance,Miami,158,5000.0,0.11076955437415648,0.001,553.8477718707824,553847.7718707824
27,,0,True,True,other,Orlando,78,5000.0,0.08329234741573961,0.002,416.46173707869804,208230.868539349
28,4.432540104750153,31,True,True,real_estate,Orlando,3,3000.0,0.1812155970225509,0.002,543.6467910676528,271823.3955338264
29,3.4195208235027788,4,True,False,other,Jacksonville,83,5000.0,0.14250943994024667,0.002,712.5471997012334,356273.59985061665
30,4.051338318651182,113,True,True,real_estate,Tampa,51,5000.0,0.18430541193003974,0.002,921.5270596501987,460763.52982509934
31,4.24973873650787,11,True,True,finance,Fort Lauderdale,4,3000.0,0.126209485123256,0.002,378.628455369768,189314.227684884
32,4.156949674089476,2,True,True,insurance,Naples,15,3000.0,0.18536480099356592,0.002,556.0944029806977,278047.20149034885
33,4.59540306084504,5,True,True,finance,Orlando,60,5000.0,0.19963375202516104,0.002,998.1687601258052,499084.3800629026
34,4.372322613118026,5,False,True,real_estate,Fort Lauderdale,35,3000.0,0.23586308633741407,0.001,707.5892590122422,707589.2590122422
35,4.534163009053999,21,False,False,finance,Miami,5,3000.0,0.11900883884825296,0.001,357.02651654475886,357026.51654475887
36,3.8558138588846207,14,True,True,real_estate,Orlando,37,3000.0,0.2291583624627693,0.002,687.4750873883079,343737.54369415395
37,4.648907704205274,13,True,True,real_estate,Tampa,2,3000.0,0.2466862660154453,0.002,740.0587980463359,370029.39902316796
38,5.0,42,False,True,real_estate,Miami,16,3000.0,0.16965261241096,0.001,508.95783723287997,508957.83723287995
39,3.714925240174294,30,False,False,finance,Jacksonville,63,5000.0,0.15986813609456643,0.001,799.3406804728321,799340.680472832
40,3.7561521721427202,29,True,True,real_estate,Fort Lauderdale,20,3000.0,0.25987215923875384,0.002,779.6164777162616,389808.23885813076
41,4.867892168160116,32,False,True,real_estate,St. Petersburg,12,3000.0,0.1911114725674576,0.001,573.3344177023729,573334.4177023729
42,4.10432800665247,42,False,True,other,Jacksonville,49,3000.0,0.13054909055883387,0.001,391.64727167650165,391647.27167650167
43,4.901910696033279,1,False,True,real_estate,Jacksonville,53,5000.0,0.1437640717432485,0.001,718.8203587162426,718820.3587162426
44,3.9787321440539083,12,True,False,real_estate,Tampa,74,5000.0,0.1538614174874854,0.002,769.3070874374271,384653.5437187135
45,4.927522788135356,1,True,True,real_estate,Miami,48,3000.0,0.18007857339027378,0.002,540.2357201708213,270117.86008541065
46,4.265742908402726,20,True,False,real_estate,Miami,59,5000.0,0.19427199864515043,0.002,971.3599932257522,485679.9966128761
47,4.329114411661347,19,True,True,insurance,Fort Lauderdale,42,3000.0,0.14580228576333912,0.002,437.40685729001734,218703.42864500868
48,4.982359010834952,70,True,True,real_estate,Naples,26,3000.0,0.2774780969829445,0.002,832.4342909488336,416217.1454744168
49,4.019114761277915,83,True,False,real_estate,Miami,22,3000.0,0.3021296674222766,0.002,906.3890022668298,453194.5011334149
