mutation_rate,seed,best_fitness,gens_to_converge
0.005,42,93303.60677862853,1
0.005,43,93303.60677862853,1
0.005,44,93303.60677862853,1
0.005,45,93303.60677862853,1
0.005,46,93303.60677862853,1
0.01,42,93304.91857713055,1
0.01,43,93303.60677862853,1
0.01,44,93304.91857713055,1
0.01,45,93304.91857713055,1
0.01,46,93303.60677862853,1
0.02,42,93174.31544837503,1
0.02,43,93303.60677862853,1
0.02,44,93274.20514647858,1
0.02,45,93257.84963546788,1
0.02,46,93162.32404375142,1
0.05,42,92583.93453268496,1
0.05,43,93303.60677862853,1
0.05,44,92992.18680621445,1
0.05,45,92962.53554585455,1
0.05,46,92958.49531801119,1
0.1,42,92583.93453268496,1
0.1,43,93303.60677862853,1
0.1,44,92992.18680621445,1
0.1,45,92962.53554585455,1
0.1,46,92811.96616020243,1
