pop_size,seed,best_fitness,wall_time_s,gens_to_converge
20,42,93304.91857713055,0.07272983298753388,2
20,43,93303.60677862853,0.0723866670159623,7
20,44,93220.5973386585,0.07061762499506585,4
20,45,92852.25573505793,0.06931212500785477,2
20,46,93170.07154689285,0.06971629199688323,9
50,42,93174.31544837503,0.17818183300551027,1
50,43,93303.60677862853,0.1789050829829648,1
50,44,93274.20514647858,0.17617791597149335,1
50,45,93257.84963546788,0.17610679200151935,1
50,46,93162.32404375142,0.1786198330228217,1
100,42,93273.49398829306,0.3582109169801697,1
100,43,93225.16867203746,0.36123624999891035,1
100,44,93299.00700141021,0.3591941250197124,1
100,45,93211.21354200959,0.3594359170238022,1
100,46,93297.51331412543,0.3581285420223139,1
200,42,93304.91857713055,0.7245956670085434,1
200,43,93303.60677862853,0.7350045840139501,1
200,44,93303.60677862853,0.7366341250017285,1
200,45,93274.44832741021,0.7429132090182975,1
200,46,93255.91384050483,0.7307731670152862,1
